id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
58,2020-07-13 21:09:45,S_GR0015,S_GR0015 PRAN Chili Powder Jar (200 gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""15 PRAN Chili Powder Jar (200 gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Chili Powder Jar (200 gm)""}}]",15,1
59,2020-07-13 21:10:29,S_GR0014,S_GR0014 PRAN Turmeric Powder 500gm pouch,2,"[{""changed"": {""fields"": [""Description""]}}]",15,1
60,2020-07-13 21:12:19,S_GR0016,S_GR0016 PRAN Chili Powder Jar 500gm pouch,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""16 PRAN Chili Powder Jar 500gm pouch""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Chili Powder Jar 500gm pouch""}}]",15,1
61,2020-07-13 21:14:12,S_GR0015,S_GR0015 PRAN Chili Powder Jar (200 gm),2,"[{""changed"": {""fields"": [""Sub category"", ""Description""]}}]",15,1
62,2020-07-13 21:17:20,S_GR0017,S_GR0017 PRAN Cumin Powder Jar (200 gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""17 PRAN Cumin Powder Jar (200 gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Cumin Powder Jar (200 gm)""}}]",15,1
63,2020-07-13 21:20:18,S_GR0018,S_GR0018 PRAN Coriander Powder Jar (200 gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""18 PRAN Coriander Powder Jar (200 gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Coriander Powder Jar (200 gm)""}}]",15,1
64,2020-07-13 21:24:37,S_GR0019,S_GR0019 Mr.Noodles Magic Masala Easy Instant 5 pack,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""19 Mr.Noodles Magic Masala Easy Instant 5 pack""}}, {""added"": {""name"": ""item details"", ""object"": ""Mr.Noodles Magic Masala Easy Instant 5 pack""}}]",15,1
65,2020-07-13 21:26:54,S_GR0020,S_GR0020 Mr.Noodles Magic Masala Easy Instant 62gm 8pack,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""20 Mr.Noodles Magic Masala Easy Instant 62gm 8pack""}}, {""added"": {""name"": ""item details"", ""object"": ""Mr.Noodles Magic Masala Easy Instant 62gm 8pack""}}]",15,1
66,2020-07-13 21:55:50,22,Covid-19 Defense (Covid-19 Defense),1,"[{""added"": {}}]",18,1
67,2020-07-13 21:59:24,S_SF001,S_SF001 Sepnil Instant Hand Sanitizer 40ml,1,"[{""added"": {}}, {""added"": {""name"": ""item details"", ""object"": ""Sepnil Instant Hand Sanitizer 40ml""}}]",15,1
